,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature
39,1985-04-01,29.3,14.0,110.5,83.8,5.5,27.5,25.28291666666667
40,1985-05-01,36.2,12.0,70.1,83.4,5.7,28.0,25.736962365591395
41,1985-06-01,9.9,14.0,37.0,79.4,5.8,28.2,25.32333333333333
42,1985-07-01,32.2,17.0,131.8,83.1,5.3,27.0,24.738575268817204
43,1985-08-01,21.4,11.0,56.9,80.4,6.2,27.7,25.07983870967742
44,1985-09-01,22.0,18.0,110.7,83.1,5.0,26.9,24.693055555555556
45,1985-10-01,30.2,21.0,169.0,84.7,4.1,26.7,24.6747311827957
46,1985-11-01,38.2,21.0,179.4,85.0,4.1,26.6,24.571805555555557
47,1985-12-01,86.8,22.0,340.1,86.2,4.6,26.1,24.273118279569893
48,1986-01-01,95.6,13.0,308.2,83.9,3.9,25.7,23.615591397849464
49,1986-02-01,23.0,2.0,26.7,78.4,7.2,26.9,23.99955357142857
50,1986-03-01,71.1,17.0,353.4,86.6,4.6,26.4,24.6747311827957
51,1986-04-01,56.4,14.0,150.0,85.3,6.2,27.4,25.42013888888889
52,1986-05-01,51.3,13.0,145.1,81.8,6.1,28.2,25.686155913978496
53,1986-06-01,34.5,13.0,122.9,82.5,6.8,27.9,25.542222222222225
54,1986-07-01,23.5,12.0,109.7,79.9,6.2,27.9,25.11209677419355
55,1986-08-01,28.4,11.0,72.9,77.3,5.6,28.3,25.126478494623655
56,1986-09-01,97.6,22.0,396.0,84.4,4.8,26.7,24.64486111111111
57,1986-10-01,65.6,20.0,227.3,85.0,5.0,26.9,24.90537634408602
58,1986-11-01,40.5,21.0,256.7,84.1,4.5,26.6,24.504583333333333
59,1986-12-01,131.7,16.0,367.2,85.2,5.4,26.3,24.403494623655916
60,1987-01-01,127.4,16.0,568.6,86.0,4.0,25.5,23.70255376344086
61,1987-02-01,34.8,7.0,86.9,79.0,9.2,26.6,23.781994047619047
62,1987-03-01,40.9,12.0,132.5,83.2,6.9,27.5,25.19475806451613
63,1987-04-01,27.7,10.0,72.5,82.8,6.2,27.9,25.573194444444447
64,1987-05-01,81.4,16.0,270.0,84.6,5.6,27.6,25.55766129032258
65,1987-06-01,30.7,15.0,126.6,80.7,6.8,28.7,26.001527777777774
66,1987-07-01,21.6,11.0,80.9,81.3,6.7,28.1,25.540188172043013
67,1987-08-01,48.2,16.0,191.9,83.6,5.1,27.4,25.20483870967742
68,1987-09-01,44.5,11.0,129.9,82.5,5.4,27.6,25.21027777777778
69,1987-10-01,5.9,9.0,22.6,82.1,5.8,27.9,25.403897849462364
70,1987-11-01,77.7,17.0,347.6,84.0,4.5,27.3,25.099861111111114
71,1987-12-01,24.3,11.0,72.8,84.6,4.8,26.4,24.40981182795699
72,1988-01-01,69.0,15.0,237.5,84.3,5.9,26.8,24.706989247311828
73,1988-02-01,46.7,9.0,158.1,83.2,6.7,27.1,24.87528735632184
74,1988-03-01,70.1,15.0,186.8,85.3,5.2,27.3,25.28682795698925
75,1988-04-01,22.8,13.0,109.6,84.5,5.4,27.8,25.7025
76,1988-05-01,76.7,14.0,229.6,82.7,5.6,28.4,26.008467741935483
77,1988-06-01,69.4,13.0,252.2,81.6,6.5,28.0,25.459305555555556
78,1988-07-01,75.6,15.0,305.4,84.0,6.0,27.3,25.204435483870967
79,1988-08-01,19.0,14.0,80.1,84.9,4.9,27.0,25.002150537634407
80,1988-09-01,187.3,14.0,440.4,84.5,4.8,27.1,25.004722222222224
81,1988-10-01,39.8,17.0,134.6,83.2,4.1,27.5,25.170295698924733
82,1988-11-01,111.9,23.0,401.4,86.8,3.7,26.3,24.58527777777778
83,1988-12-01,22.0,11.0,62.9,81.1,5.7,26.2,23.718413978494624
84,1989-01-01,53.0,10.0,189.7,84.1,5.8,26.5,24.39704301075269
85,1989-02-01,48.4,3.0,52.4,78.3,6.7,26.6,23.703869047619047
86,1989-03-01,63.5,21.0,305.9,87.6,4.5,26.3,24.72204301075269
87,1989-04-01,39.0,17.0,198.6,86.4,5.7,27.0,25.190555555555555
88,1989-05-01,38.2,12.0,194.0,86.6,5.2,27.3,25.4755376344086
89,1989-06-01,45.9,12.0,117.6,83.3,6.0,27.5,25.19611111111111
90,1989-07-01,33.3,12.0,157.6,82.6,6.0,27.7,25.386559139784943
91,1989-08-01,81.4,18.0,201.0,83.7,5.3,27.1,24.966397849462364
92,1989-09-01,102.2,14.0,247.3,84.4,5.5,26.9,24.846249999999998
93,1989-10-01,24.9,16.0,111.0,83.7,5.5,27.1,24.87983870967742
94,1989-11-01,148.6,20.0,508.4,86.0,5.4,26.7,24.7975
95,1989-12-01,44.2,18.0,179.7,85.5,4.8,26.3,24.37889784946237
96,1990-01-01,73.9,13.0,147.4,83.8,5.3,26.2,24.04731182795699
97,1990-02-01,6.6,8.0,24.1,80.9,8.9,27.6,24.96175595238095
98,1990-03-01,48.6,4.0,94.2,77.6,8.3,28.2,25.07956989247312
99,1990-04-01,12.0,10.0,52.4,81.2,6.3,28.5,25.885972222222225
100,1990-05-01,153.7,11.0,180.1,81.1,6.5,28.6,25.933064516129033
101,1990-06-01,76.1,9.0,112.6,80.7,6.3,28.3,25.693888888888885
102,1990-07-01,44.5,12.0,124.0,82.7,5.9,27.5,25.131048387096776
103,1990-08-01,38.3,13.0,146.6,82.3,5.8,28.0,25.5747311827957
104,1990-09-01,44.5,17.0,204.5,83.2,5.1,27.2,24.9775
105,1990-10-01,20.2,12.0,56.4,83.5,5.9,27.5,25.24516129032258
106,1990-11-01,46.9,17.0,180.4,83.5,4.6,27.2,24.983611111111113
