Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Singapore,SGP,CO2 emissions (kt),EN.ATM.CO2E.KT,28970,30470,31410,36160,37980,37580,38520,38160,37050,37800,42120,42030,41290.00092,38159.99985,39619.99893,36900.00153,37169.99817,38290.00092,38419.99817,38830.00183,42409.99985,44770.00046,43689.99863,43909.99985,44400.00153,45430.00031,46099.99847,49139.99939,47400.00153,47380.00107
World,WLD,CO2 emissions (kt),EN.ATM.CO2E.KT,20625272.97,20766900.89,20796958.43,20937123.28,21052949.1,21652838.85,22110607.51,22492054.36,22613709.04,22720117.59,23445433.27,23845771.45,24165261.26,25285349.24,26434355.26,27414328.02,28302931.66,29368779.2,29595752.4,29267375.19,31043476.98,32021108.26,32460316.86,33119382.99,33198729.82,32995536.02,33018556.4,33514537.91,34289350.66,34344006.07
